日期,销量
2022-01-01,378
2022-01-02,379
2022-01-03,354
2022-01-04,354
2022-01-05,337
2022-01-06,352
2022-01-07,408
2022-01-08,353
2022-01-09,427
2022-01-10,403
2022-01-11,392
2022-01-12,411
2022-01-13,450
2022-01-14,414
2022-01-15,397
2022-01-16,437
2022-01-17,467
2022-01-18,434
2022-01-19,418
2022-01-20,492
2022-01-21,475
2022-01-22,445
2022-01-23,473
2022-01-24,492
2022-01-25,504
2022-01-26,463
2022-01-27,516
2022-01-28,488
2022-01-29,493
2022-01-30,501
2022-01-31,457
2022-02-01,499
2022-02-02,490
2022-02-03,562
2022-02-04,523
2022-02-05,534
2022-02-06,506
2022-02-07,496
2022-02-08,504
2022-02-09,510
2022-02-10,586
2022-02-11,567
2022-02-12,523
2022-02-13,578
2022-02-14,579
2022-02-15,620
2022-02-16,540
2022-02-17,620
2022-02-18,581
2022-02-19,586
2022-02-20,572
2022-02-21,562
2022-02-22,634
2022-02-23,646
2022-02-24,637
2022-02-25,631
2022-02-26,649
2022-02-27,675
2022-02-28,617
2022-03-01,640
2022-03-02,666
2022-03-03,685
2022-03-04,619
2022-03-05,673
2022-03-06,664
2022-03-07,655
2022-03-08,676
2022-03-09,676
2022-03-10,664
2022-03-11,691
2022-03-12,688
2022-03-13,751
2022-03-14,712
2022-03-15,711
2022-03-16,686
2022-03-17,683
2022-03-18,724
2022-03-19,691
2022-03-20,733
2022-03-21,728
2022-03-22,746
2022-03-23,737
2022-03-24,746
2022-03-25,793
2022-03-26,731
2022-03-27,784
2022-03-28,757
2022-03-29,767
2022-03-30,819
2022-03-31,797
2022-04-01,791
2022-04-02,851
2022-04-03,765
2022-04-04,780
2022-04-05,861
2022-04-06,812
2022-04-07,819
2022-04-08,793
2022-04-09,835
2022-04-10,817
2022-04-11,807
2022-04-12,840
2022-04-13,864
2022-04-14,826
2022-04-15,893
2022-04-16,905
2022-04-17,917
2022-04-18,930
2022-04-19,935
2022-04-20,887
2022-04-21,931
2022-04-22,887
2022-04-23,945
2022-04-24,896
2022-04-25,960
2022-04-26,916
2022-04-27,881
2022-04-28,971
2022-04-29,917
2022-04-30,898
2022-05-01,901
2022-05-02,915
2022-05-03,976
2022-05-04,936
2022-05-05,999
2022-05-06,1001
2022-05-07,970
2022-05-08,989
2022-05-09,984
2022-05-10,947
2022-05-11,1010
2022-05-12,976
2022-05-13,976
2022-05-14,1030
2022-05-15,972
2022-05-16,985
2022-05-17,982
2022-05-18,1068
2022-05-19,1056
2022-05-20,1087
2022-05-21,1059
2022-05-22,1080
2022-05-23,1017
2022-05-24,1108
2022-05-25,1071
2022-05-26,1118
2022-05-27,1068
2022-05-28,1077
2022-05-29,1119
2022-05-30,1144
2022-05-31,1091
2022-06-01,1150
2022-06-02,1069
2022-06-03,1138
2022-06-04,1152
2022-06-05,1148
2022-06-06,1114
2022-06-07,1155
2022-06-08,1166
2022-06-09,1142
2022-06-10,1110
2022-06-11,1197
2022-06-12,1159
2022-06-13,1140
2022-06-14,1205
2022-06-15,1191
2022-06-16,1156
